id,whalescale,address,label,total_received,total_xfers
14171,1.3958497967034355e-06,0x0781a187a2954d2258afa153b78a496c92db3ce5,"Binance Deposit Address (PAXOS, Circle) BUSD Top100",5716280744.481997,541
444245,1.3641354520679986e-06,0xf2103b01cd7957f3a9d9726bbb74c0ccd3f355d3,Cumberland 2,4795068695.84,1431
73232,1.288814936849074e-06,0x276762e52ffc7e6f6d5ff7a2e449f387d62c418a,,236197034.0238851,244
342986,1.1994056177468478e-06,0xbaab411c41785642077b30634110bbdbfdfce53a,Paxos Treasury Deposits 20,300001000,2
235561,1.1993992660958456e-06,0x803466ad7ed0c5dd9762da7f20d61e8e7903cee5,,300000050,2
412825,1.1993989020895133e-06,0xe0a537db16b9f061b3b72e1a156c11ecba39ac4a,Paxos Treasury Deposits 21,300000000,1
40581,1.171930478729066e-06,0x159d563ee3928cfa2bd3631b39266271888fe882,FTX Deposit Address (Likely Alameda) BUSD Top100,310699176.97996384,178
296644,1.1592746170705716e-06,0xa16ca674b211eea99a8d2e2130329447253f583a,Jump Trading FTX Deposit Address,520585637,522
424307,1.1396358536852552e-06,0xe6effe1e71070435afeaf960c9baf471d0bb1d0a,Binance Deposit Address 2 BUSD Top100,6652267205.696485,853
353140,1.1382121364521533e-06,0xc049b80b6745cd318d617f3c8ac763f76c766d82,FTX Deposit Address 6 BUSD Top100,194027320,237
420126,1.1318413817326507e-06,0xe4a6d2fd6a5ec48d794f8ae38f08a6b2d318aeae,Paxos Treasury Deposits 22,170484448.05246168,12
334798,1.118409030497399e-06,0xb630abaadbbd4cb7616eb4bc948b526fba832395,Three Arrows Capital FTX Deposit Address,2808928805.490456,254
19181,1.0629616395214294e-06,0x0a293614cadc1b899ceb460d5d05a4afd881a9b5,,246114290.00999898,31
283697,1.0229490234239811e-06,0x9a63d8c2a9f8ade3913876c6127d0951b8d4ddfc,Paxos Treasury Deposits 23,173760854.60123086,97
56406,1.0122470937004372e-06,0x1e33f93bf8efbec514bd4591f263d35e7b55b100,Paxos Treasury Deposits 24,311259076.02,88
365935,9.994990850745943e-07,0xc72b788fd204819b62eb564f9aa8d115aa66625e,Binance --> Binance US 3 forwarder 2,250000000,2
429709,9.750706765715847e-07,0xe9ec5a5fa466ac46cb28a9c556a72d9aab0a892a,Amber Group 3,185650127.8158367,95
391093,9.634089049520348e-07,0xd4d787bcdcc4ac6102b3d1654144a858796bc543,FTX Deposit Address 7 BUSD Top100,160074848.72384286,73
216451,9.63003537124199e-07,0x75b613ef1870a7a2836d96a07145bd5b136412fe,WS TUSD Top 100 #112062,405558363.57,155
66082,9.60192949367049e-07,0x237c5f7492ea30d29d9226e624317cb23c85c72a,WS TUSD Top 100 FTX Deposit Address 3,389126196.35,580
444506,9.538861337337832e-07,0xf233fea0a472080b2308371e1e60003667a7a2e0,FTX Deposit Address 9 BUSD Top100,186252414.26202002,26
410299,8.230399256610387e-07,0xdf5083e7cf01a8207d36f107eec42344d312bced,Paxos Internal Wallet (PayPal USD txs),215997922.5707138,202
220755,7.725198586135052e-07,0x7815b2c3d809b8dab12551180bbed68ed10b781e,Three Arrows Capital 2,111837958.75472006,6
